//大小
s -12.0/-2.0/12.0/16.0

e 4/-11.0/-1.0/0.0
e 4/-10.0/-1.0/0.0
e 4/-9.0/-1.0/0.0
e 4/-8.0/-1.0/0.0
e 2/-5.0/-1.0/0.0
e 2/-4.0/-1.0/0.0
e 2/-3.0/-1.0/0.0
e 2/-2.0/-1.0/0.0
e 2/-1.0/-1.0/0.0
e 4/11.0/-1.0/0.0
e 4/10.0/-1.0/0.0
e 4/9.0/-1.0/0.0
e 4/8.0/-1.0/0.0
e 2/5.0/-1.0/0.0
e 2/4.0/-1.0/0.0
e 2/3.0/-1.0/0.0
e 2/2.0/-1.0/0.0
e 2/1.0/-1.0/0.0
e 2/0.0/-1.0/0.0

e 4/-11.0/2.0/0.0
e 4/-10.0/2.0/0.0
e 4/-9.0/2.0/0.0
e 4/-8.0/2.0/0.0
e 4/11.0/2.0/0.0
e 4/10.0/2.0/0.0
e 4/9.0/2.0/0.0
e 4/8.0/2.0/0.0

e 4/-11.0/5.0/0.0
e 4/-10.0/5.0/0.0
e 4/-9.0/5.0/0.0
e 4/-8.0/5.0/0.0
e 2/-5.0/5.0/0.0
e 2/-4.0/5.0/0.0
e 2/-3.0/5.0/0.0
e 2/-2.0/5.0/0.0
e 2/-1.0/5.0/0.0
e 4/11.0/5.0/0.0
e 4/10.0/5.0/0.0
e 4/9.0/5.0/0.0
e 4/8.0/5.0/0.0
e 2/5.0/5.0/0.0
e 2/4.0/5.0/0.0
e 2/3.0/5.0/0.0
e 2/2.0/5.0/0.0
e 2/1.0/5.0/0.0
e 2/0.0/5.0/0.0

e 4/-11.0/8.0/0.0
e 4/-10.0/8.0/0.0
e 4/-9.0/8.0/0.0
e 4/-8.0/8.0/0.0
e 4/11.0/8.0/0.0
e 4/10.0/8.0/0.0
e 4/9.0/8.0/0.0
e 4/8.0/8.0/0.0

e 4/-11.0/11.0/0.0
e 4/-10.0/11.0/0.0
e 4/-9.0/11.0/0.0
e 4/-8.0/11.0/0.0
e 2/-5.0/11.0/0.0
e 2/-4.0/11.0/0.0
e 2/-3.0/11.0/0.0
e 2/-2.0/11.0/0.0
e 2/-1.0/11.0/0.0
e 4/11.0/11.0/0.0
e 4/10.0/11.0/0.0
e 4/9.0/11.0/0.0
e 4/8.0/11.0/0.0
e 2/5.0/11.0/0.0
e 2/4.0/11.0/0.0
e 2/3.0/11.0/0.0
e 2/2.0/11.0/0.0
e 2/1.0/11.0/0.0
e 2/0.0/11.0/0.0

e 4/-11.0/14.0/0.0
e 4/-10.0/14.0/0.0
e 4/-9.0/14.0/0.0
e 4/-8.0/14.0/0.0
e 4/11.0/14.0/0.0
e 4/10.0/14.0/0.0
e 4/9.0/14.0/0.0
e 4/8.0/14.0/0.0

//怪物
//持盾小黑
e 103/-4.0/6.0/0.0
e 103/4.0/6.0/0.0

e 103/-4.0/12.0/0.0
e 103/4.0/12.0/0.0

//飞行
e 101/-6.0/4.0/0.0

e 101/-6.0/10.0/0.0

e 101/-6.0/15.0/0.0

p 0.0/0.5/0.0
