//大小
s -12.0/-2.0/12.0/16.0

e 3/-11.0/-1.0/0.0
e 3/-10.0/-1.0/0.0
e 3/-9.0/-1.0/0.0
e 3/-8.0/-1.0/0.0
e 3/-7.0/-1.0/0.0
e 3/-6.0/-1.0/0.0
e 3/-5.0/-1.0/0.0
e 3/-4.0/-1.0/0.0
e 3/-3.0/-1.0/0.0
e 3/-2.0/-1.0/0.0
e 3/-1.0/-1.0/0.0
e 3/11.0/-1.0/0.0
e 3/10.0/-1.0/0.0
e 3/9.0/-1.0/0.0
e 3/8.0/-1.0/0.0
e 3/7.0/-1.0/0.0
e 3/6.0/-1.0/0.0
e 3/5.0/-1.0/0.0
e 3/4.0/-1.0/0.0
e 3/3.0/-1.0/0.0
e 3/2.0/-1.0/0.0
e 3/1.0/-1.0/0.0
e 3/0.0/-1.0/0.0

e 3/-11.0/2.0/0.0
e 3/-10.0/2.0/0.0
e 3/-9.0/2.0/0.0
e 3/-8.0/2.0/0.0
e 3/-7.0/2.0/0.0
e 3/-6.0/2.0/0.0
e 3/-5.0/2.0/0.0
e 3/-4.0/2.0/0.0
e 3/-3.0/2.0/0.0
e 3/-2.0/2.0/0.0
e 3/-1.0/2.0/0.0
e 3/11.0/2.0/0.0
e 3/10.0/2.0/0.0
e 3/9.0/2.0/0.0
e 3/8.0/2.0/0.0
e 3/7.0/2.0/0.0
e 3/6.0/2.0/0.0
e 3/5.0/2.0/0.0
e 3/4.0/2.0/0.0
e 3/3.0/2.0/0.0
e 3/2.0/2.0/0.0
e 3/1.0/2.0/0.0
e 3/0.0/2.0/0.0

e 3/-11.0/5.0/0.0
e 3/-10.0/5.0/0.0
e 3/-9.0/5.0/0.0
e 3/-8.0/5.0/0.0
e 3/-7.0/5.0/0.0
e 3/-6.0/5.0/0.0
e 3/-5.0/5.0/0.0
e 3/-4.0/5.0/0.0
e 3/-3.0/5.0/0.0
e 3/-2.0/5.0/0.0
e 3/-1.0/5.0/0.0
e 3/11.0/5.0/0.0
e 3/10.0/5.0/0.0
e 3/9.0/5.0/0.0
e 3/8.0/5.0/0.0
e 3/7.0/5.0/0.0
e 3/6.0/5.0/0.0
e 3/5.0/5.0/0.0
e 3/4.0/5.0/0.0
e 3/3.0/5.0/0.0
e 3/2.0/5.0/0.0
e 3/1.0/5.0/0.0
e 3/0.0/5.0/0.0

e 3/-11.0/8.0/0.0
e 3/-10.0/8.0/0.0
e 3/-9.0/8.0/0.0
e 3/-8.0/8.0/0.0
e 3/-7.0/8.0/0.0
e 3/-6.0/8.0/0.0
e 3/-5.0/8.0/0.0
e 3/-4.0/8.0/0.0
e 3/-3.0/8.0/0.0
e 3/-2.0/8.0/0.0
e 3/-1.0/8.0/0.0
e 3/11.0/8.0/0.0
e 3/10.0/8.0/0.0
e 3/9.0/8.0/0.0
e 3/8.0/8.0/0.0
e 3/7.0/8.0/0.0
e 3/6.0/8.0/0.0
e 3/5.0/8.0/0.0
e 3/4.0/8.0/0.0
e 3/3.0/8.0/0.0
e 3/2.0/8.0/0.0
e 3/1.0/8.0/0.0
e 3/0.0/8.0/0.0

e 3/-11.0/11.0/0.0
e 3/-10.0/11.0/0.0
e 3/-9.0/11.0/0.0
e 3/-8.0/11.0/0.0
e 3/-7.0/11.0/0.0
e 3/-6.0/11.0/0.0
e 3/-5.0/11.0/0.0
e 3/-4.0/11.0/0.0
e 3/-3.0/11.0/0.0
e 3/-2.0/11.0/0.0
e 3/-1.0/11.0/0.0
e 3/11.0/11.0/0.0
e 3/10.0/11.0/0.0
e 3/9.0/11.0/0.0
e 3/8.0/11.0/0.0
e 3/7.0/11.0/0.0
e 3/6.0/11.0/0.0
e 3/5.0/11.0/0.0
e 3/4.0/11.0/0.0
e 3/3.0/11.0/0.0
e 3/2.0/11.0/0.0
e 3/1.0/11.0/0.0
e 3/0.0/11.0/0.0

e 3/-11.0/14.0/0.0
e 3/-10.0/14.0/0.0
e 3/-9.0/14.0/0.0
e 3/-8.0/14.0/0.0
e 3/-7.0/14.0/0.0
e 3/-6.0/14.0/0.0
e 3/-5.0/14.0/0.0
e 3/-4.0/14.0/0.0
e 3/-3.0/14.0/0.0
e 3/-2.0/14.0/0.0
e 3/-1.0/14.0/0.0
e 3/11.0/14.0/0.0
e 3/10.0/14.0/0.0
e 3/9.0/14.0/0.0
e 3/8.0/14.0/0.0
e 3/7.0/14.0/0.0
e 3/6.0/14.0/0.0
e 3/5.0/14.0/0.0
e 3/4.0/14.0/0.0
e 3/3.0/14.0/0.0
e 3/2.0/14.0/0.0
e 3/1.0/14.0/0.0
e 3/0.0/14.0/0.0

//怪物
//小黑
e 102/-7.0/3.0/0.0
e 102/5.0/3.0/0.0

e 102/7.0/9.0/0.0

e 102/-3.0/12.0/0.0

p 0.0/0.5/0.0
